Station ID,Latitude,Longitude,PM25
XCNAQ698,30.5432,117.0565,45.8196
XCNAQ697,30.5119,117.0331,55.5046
XCNAQ1029,32.6939,109.0281,60.1431
XCNAQ1030,32.6975,109.0072,49.2717
XCNAQ1028,32.6778,109.0311,41.0326
XCNAQ192,36.061,114.483,83.6037
XCNAQ459,36.0902,114.3979,82.2156
XCNAQ193,36.086,114.32,73.6117
XCNAQ195,36.11,114.286,98.6384
XCNAQ194,36.087,114.358,88.1614
XCNAQ970,26.2498,105.9313,31.4965
XCNAQ969,26.2583,105.9608,27.5092
XCNAQ971,26.232,105.9427,30.222
XCNAQ972,26.2443,105.9157,28.22
XCNAQ1050,35.5974,104.6169,38.8355
XCNAQ1049,35.5713,104.6228,44.0315
XCNAQ486,31.354,119.818,46.2063
XCNAQ487,31.371,119.794,52.9213
XCNAQ278,28.7867,104.6061,63.7445
XCNAQ283,28.7661,104.6225,49.7276
XCNAQ280,28.7638,104.6417,59.5017
XCNAQ475,28.7989,104.6789,54.9501
XCNAQ279,28.8194,104.5969,56.8446
XCNAQ281,28.7158,104.5761,57.7415
XCNAQ217,30.6463,111.3547,77.3668
XCNAQ216,30.7157,111.3009,69.0942
XCNAQ465,30.7819,111.3275,69.1061
XCNAQ466,30.6966,111.2628,66.3935
XCNAQ467,30.698,111.2992,70.2449
XCNAQ772,27.8014,114.3806,39.0771
XCNAQ775,27.8072,114.4011,49.6609
XCNAQ774,27.7914,114.3703,39.1843
XCNAQ773,27.7842,114.3953,34.4409
XCNAQ771,27.8036,114.3442,52.767
XCNAQ371,34.3622,107.2386,61.5167
XCNAQ329,34.3671,107.1906,43.6822
XCNAQ448,34.3708,107.1586,49.9384
XCNAQ332,34.3739,107.1186,56.3296
XCNAQ372,34.3497,107.2058,60.5339
XCNAQ331,34.3547,107.1431,56.823
XCNAQ330,34.3016,107.0708,48.4065
XCNAQ333,34.3528,107.3906,72.3993
XCNAQ721,30.9431,118.7175,56.8382
XCNAQ720,30.9742,118.7386,40.5011
XCNAQ719,30.9447,118.7581,47.8807
XCNAQ708,33.6284,116.9677,63.4965
XCNAQ709,33.6306,116.989,62.7362
XCNAQ707,33.6466,116.9816,60.347
CN_1222A,33.9506,118.321,60.4926
CN_1221A,33.9592,118.2442,55.9113
CN_1220A,33.9528,118.293,58.5899
CN_1219A,33.96,118.266,67.845
XCNAQ509,30.049,119.946,50.4735
XCNAQ510,30.051,119.9589,55.0739
XCNAQ2876,36.864,118.78,86.024
XCNAQ2877,36.881,118.746,83.6586
XCNAQ1011,29.261,91.7706,24.9256
XCNAQ1010,29.2313,91.7608,13.2566
XCNAQ468,29.474,113.27,52.6712
XCNAQ2797,29.4758,113.2621,52.6391
XCNAQ469,29.3578,113.1094,48.6113
XCNAQ2798,29.4402,112.9943,48.2657
XCNAQ241,29.4251,113.1493,57.4018
XCNAQ238,29.3678,113.1772,55.7124
XCNAQ470,29.355,113.2117,56.6074
XCNAQ910,22.3708,107.3701,38.2508
XCNAQ909,22.4137,107.3476,38.7622
XCNAQ945,31.8448,106.7617,35.3626
XCNAQ947,31.85,106.7255,44.8035
XCNAQ948,31.8434,106.7656,28.1454
XCNAQ946,31.8688,106.7429,36.3535
XCNAQ602,40.7378,107.3715,44.162
XCNAQ600,40.9159,107.5936,44.8808
XCNAQ601,40.7608,107.4211,47.8361
XCNAQ222,29.0411,111.668,46.4149
XCNAQ347,40.0036,106.6097,59.5752
XCNAQ223,29.0246,111.7045,54.5392
XCNAQ205,35.2355,113.2611,87.4764
XCNAQ319,24.3602,102.5433,27.3691
XCNAQ067,36.0977,111.5125,58.5655
XCNAQ185,34.67,112.4333,66.6535
CN_1197A,31.7786,119.933,58.2802
CN_1201A,31.9108,119.905,54.9997
CN_1196A,31.7586,119.996,58.9532
CN_1198A,31.8089,119.962,59.7556
CN_1200A,31.7039,119.935,59.9168
XCNAQ224,28.9703,111.6975,52.7741
XCNAQ1267,29.0244,111.7044,54.5349
XCNAQ1268,29.0381,111.6794,46.442
XCNAQ2799,29.1456,111.7158,35.3375
XCNAQ1269,29.0239,111.6753,53.1085
XCNAQ1043,35.5304,106.7066,50.6133
XCNAQ1042,35.5461,106.6692,47.299
XCNAQ544,36.792,119.952,57.0712
XCNAQ545,36.799,119.976,47.8263
XCNAQ202,33.737,113.182,78.6125
XCNAQ201,33.7209,113.322,89.33
XCNAQ200,33.739,113.292,91.6914
XCNAQ203,33.7214,113.3064,92.2607
XCNAQ913,32.4246,105.8153,22.2918
XCNAQ914,32.4285,105.8624,22.8777
XCNAQ912,32.4429,105.8242,24.385
XCNAQ911,32.4535,105.8945,17.7519
XCNAQ934,30.484,106.6439,44.6731
XCNAQ933,30.4663,106.6271,48.9408
XCNAQ931,30.518,106.631,35.3715
XCNAQ932,30.4576,106.6303,49.5637
XCNAQ935,30.4551,106.6388,50.0481
CN_1353A,23.2783,113.568,37.3165
XCNAQ1179,23.1323,113.3208,39.1607
CN_1346A,23.105,113.261,42.5174
CN_1349A,23.105,113.433,36.9403
CN_1352A,23.1331,113.26,39.7726
CN_1355A,23.5538,113.589,35.2959
CN_1348A,23.0916,113.348,37.2276
CN_1345A,23.1422,113.235,41.3507
CN_1350A,22.9477,113.352,42.2219
CN_1351A,23.3917,113.215,38.999
CN_1354A,23.1569,113.281,34.5391
XCNAQ1046,35.7289,107.6831,34.4777
XCNAQ1048,35.7067,107.6364,32.4477
XCNAQ1047,35.5236,107.6406,42.8198
XCNAQ534,41.7511,86.1461,55.5901
XCNAQ535,41.7192,86.2022,49.8377
XCNAQ536,41.7128,86.2381,40.3775
CN_1070A,39.5343,116.7464,80.2499
CN_1068A,39.5747,116.7729,90.3866
CN_1069A,39.5499,116.702,83.52
CN_1067A,39.5178,116.6838,84.4646
XCNAQ334,36.5767,109.4824,42.6086
XCNAQ336,36.6028,109.4761,45.837
XCNAQ335,36.6275,109.4131,33.4805
XCNAQ373,36.6106,109.5056,56.268
XCNAQ198,34.7967,114.2886,72.9935
XCNAQ460,34.7975,114.3733,68.7307
XCNAQ461,34.8002,114.3466,72.907
XCNAQ462,34.7781,114.3389,76.1458
XCNAQ2489,34.8022,114.3406,72.8648
CN_1060A,40.7688,114.9032,36.305
CN_1059A,40.8115,114.8814,30.5842
CN_1057A,40.8367,114.8985,37.109
CN_1061A,40.8725,114.904,34.4941
CN_1058A,40.85,114.85,32.0006
XCNAQ471,29.3547,110.5594,36.5374
XCNAQ472,29.1389,110.48,58.7314
XCNAQ244,29.1242,110.4697,62.4736
XCNAQ242,29.315,110.4417,40.7411
XCNAQ1040,38.9467,100.4686,39.3728
XCNAQ1041,38.9388,100.4497,44.2875
CN_1182A,34.2778,117.2933,63.1375
CN_1180A,34.2153,117.256,60.6992
CN_1181A,34.2911,117.244,68.6744
CN_1178A,34.2328,117.1917,65.2464
CN_1179A,34.3083,117.192,66.2797
CN_1183A,34.1806,117.166,62.1042
CN_1177A,34.2761,117.167,61.3143
XCNAQ1002,24.428,98.5842,26.5891
XCNAQ1003,24.441,98.578,35.0578
XCNAQ421,37.4664,116.3061,85.2104
XCNAQ402,37.4489,116.3189,92.4247
XCNAQ403,37.4654,116.3116,103.3273
XCNAQ298,31.1208,104.4218,43.7005
XCNAQ299,31.1167,104.4053,51.2873
XCNAQ297,31.1108,104.3539,61.3197
XCNAQ296,31.1333,104.3883,57.707
XCNAQ590,38.4928,112.7003,65.4627
XCNAQ589,38.4519,112.7383,53.8744
XCNAQ588,38.4186,112.7356,55.5631
XCNAQ872,27.5342,109.9792,48.9035
XCNAQ874,27.583,110.0394,53.3972
XCNAQ870,27.5733,109.9333,49.7877
XCNAQ871,27.5444,109.9453,59.0732
XCNAQ873,27.5578,109.9972,43.7232
XCNAQ1004,25.8567,98.8601,21.296
XCNAQ1005,25.8417,98.8546,22.0394
XCNAQ843,30.2819,109.4689,54.5986
XCNAQ842,30.2989,109.5039,53.06
CN_1393A,23.0799,114.4053,28.2541
CN_1396A,22.7422,114.5317,24.5624
CN_1395A,22.8172,114.3244,25.8475
CN_1394A,23.1142,114.4103,27.6964
CN_1392A,23.0528,114.4183,30.6788
CN_1433A,30.5706,104.0789,61.6289
CN_1437A,30.6578,104.054,69.9035
CN_1432A,30.6872,104.176,64.7015
XCNAQ1166,30.6531,104.0786,55.2686
CN_1435A,30.685,104.074,64.2238
CN_1434A,30.63,104.1113,60.0827
CN_1438A,31.0283,103.613,41.7339
CN_1436A,30.6544,104.026,67.1004
CN_1431A,30.7235,103.9727,67.9682
CN_1184A,32.3878,119.46,57.7454
CN_1185A,32.3972,119.3633,53.6237
CN_1187A,32.4033,119.439,54.8322
CN_1186A,32.3761,119.389,52.1449
CN_1063A,40.9843,117.9525,41.5947
CN_1064A,40.9358,117.963,46.3911
CN_1065A,40.9733,117.8184,41.5649
CN_1066A,41.011,117.938,37.2961
CN_1062A,40.9161,117.9664,41.5576
XCNAQ780,27.9647,116.385,42.0206
XCNAQ777,27.9883,116.3553,43.059
XCNAQ778,27.9639,116.3598,40.3309
XCNAQ779,28.0005,116.3574,38.1148
CN_1456A,29.6514,91.1319,28.3117
CN_1458A,29.6475,91.0874,19.4659
CN_1460A,29.6588,90.9798,35.9516
CN_1457A,29.6747,91.1221,30.0723
CN_1461A,29.6292,91.0834,16.8382
CN_1459A,29.6541,91.1774,18.7635
XCNAQ428,23.5738,116.3594,38.6996
XCNAQ426,23.5352,116.3697,37.1981
XCNAQ429,23.5486,116.3241,33.9787
XCNAQ1148,23.5353,116.3697,32.866
XCNAQ427,23.5292,116.4094,46.2031
XCNAQ1149,23.5486,116.3242,29.7899
XCNAQ308,26.5017,101.7453,29.4802
XCNAQ1109,26.567,101.7227,28.9203
XCNAQ306,26.5709,101.6891,34.9221
XCNAQ304,26.5928,101.5769,32.9355
XCNAQ305,26.585,101.7169,31.1423
XCNAQ996,23.3594,104.2533,50.6379
XCNAQ997,23.3892,104.2319,23.9566
XCNAQ790,35.272,113.884,89.9237
XCNAQ791,35.303,113.883,89.8249
XCNAQ789,35.31,113.836,92.6319
XCNAQ788,35.2824,113.9362,90.8778
XCNAQ752,27.7758,115.0586,37.4456
XCNAQ755,27.8036,114.9314,43.4331
XCNAQ756,27.8042,114.9119,41.323
XCNAQ754,27.8328,114.9289,39.797
XCNAQ753,27.8344,114.9831,34.7153
