fuel_type,Tier,IMOSpeedCode,Load1,NO2_EF_ME,NO2_EF_AE,NO2_EF_AB
HFO,T0,M,0.91,14.0,14.7,2.1
HFO,T0,M,0.92,14.0,14.7,2.1
HFO,T0,M,0.93,14.0,14.7,2.1
HFO,T0,M,0.94,14.0,14.7,2.1
HFO,T0,M,0.95,14.0,14.7,2.1
HFO,T0,M,0.96,14.0,14.7,2.1
HFO,T0,M,0.97,14.0,14.7,2.1
HFO,T0,M,0.98,14.0,14.7,2.1
HFO,T0,M,0.99,14.0,14.7,2.1
HFO,T0,M,1.0,14.0,14.7,2.1
HFO,T0,H,0.0,64.75196307507773,14.7,2.1
HFO,T0,H,0.01,64.75196307507773,14.7,2.1
HFO,T0,H,0.02,64.75196307507773,14.7,2.1
HFO,T0,H,0.03,40.8706769754927,14.7,2.1
HFO,T0,H,0.04,30.872155023123486,14.7,2.1
HFO,T0,H,0.05,25.601290965431588,14.7,2.1
HFO,T0,H,0.06,22.428845350887183,14.7,2.1
HFO,T0,H,0.07,20.346656735369372,14.7,2.1
HFO,T0,H,0.08,18.893834013705767,14.7,2.1
HFO,T0,H,0.09,17.832889698157224,14.7,2.1
HFO,T0,H,0.1,17.030302154752576,14.7,2.1
HFO,T0,H,0.11,16.405835718335766,14.7,2.1
HFO,T0,H,0.12,15.908673251257637,14.7,2.1
HFO,T0,H,0.13,15.505228863816342,14.7,2.1
HFO,T0,H,0.14,15.172508406386601,14.7,2.1
HFO,T0,H,0.15,14.894294990400862,14.7,2.1
HFO,T0,H,0.16,14.658858007211489,14.7,2.1
HFO,T0,H,0.17,14.457524282600964,14.7,2.1
HFO,T0,H,0.18,14.28375754721864,14.7,2.1
HFO,T0,H,0.19,14.13254841648329,14.7,2.1
HFO,T0,H,0.2,14.000000000000004,14.7,2.1
HFO,T0,H,0.21,14.0,14.7,2.1
HFO,T0,H,0.22,14.0,14.7,2.1
HFO,T0,H,0.23,14.0,14.7,2.1
HFO,T0,H,0.24,14.0,14.7,2.1
HFO,T0,H,0.25,14.0,14.7,2.1
HFO,T0,H,0.26,14.0,14.7,2.1
HFO,T0,H,0.27,14.0,14.7,2.1
HFO,T0,H,0.28,14.0,14.7,2.1
HFO,T0,H,0.29,14.0,14.7,2.1
HFO,T0,H,0.3,14.0,14.7,2.1
HFO,T0,H,0.31,14.0,14.7,2.1
HFO,T0,H,0.32,14.0,14.7,2.1
HFO,T0,H,0.33,14.0,14.7,2.1
HFO,T0,H,0.34,14.0,14.7,2.1
HFO,T0,H,0.35,14.0,14.7,2.1
HFO,T0,H,0.36,14.0,14.7,2.1
HFO,T0,H,0.37,14.0,14.7,2.1
HFO,T0,H,0.38,14.0,14.7,2.1
HFO,T0,H,0.39,14.0,14.7,2.1
HFO,T0,H,0.4,14.0,14.7,2.1
HFO,T0,H,0.41,14.0,14.7,2.1
HFO,T0,H,0.42,14.0,14.7,2.1
HFO,T0,H,0.43,14.0,14.7,2.1
HFO,T0,H,0.44,14.0,14.7,2.1
HFO,T0,H,0.45,14.0,14.7,2.1
HFO,T0,H,0.46,14.0,14.7,2.1
HFO,T0,H,0.47,14.0,14.7,2.1
HFO,T0,H,0.48,14.0,14.7,2.1
HFO,T0,H,0.49,14.0,14.7,2.1
HFO,T0,H,0.5,14.0,14.7,2.1
HFO,T0,H,0.51,14.0,14.7,2.1
HFO,T0,H,0.52,14.0,14.7,2.1
HFO,T0,H,0.53,14.0,14.7,2.1
HFO,T0,H,0.54,14.0,14.7,2.1
HFO,T0,H,0.55,14.0,14.7,2.1
HFO,T0,H,0.56,14.0,14.7,2.1
HFO,T0,H,0.57,14.0,14.7,2.1
HFO,T0,H,0.58,14.0,14.7,2.1
HFO,T0,H,0.59,14.0,14.7,2.1
HFO,T0,H,0.6,14.0,14.7,2.1
HFO,T0,H,0.61,14.0,14.7,2.1
HFO,T0,H,0.62,14.0,14.7,2.1
HFO,T0,H,0.63,14.0,14.7,2.1
HFO,T0,H,0.64,14.0,14.7,2.1
HFO,T0,H,0.65,14.0,14.7,2.1
HFO,T0,H,0.66,14.0,14.7,2.1
HFO,T0,H,0.67,14.0,14.7,2.1
HFO,T0,H,0.68,14.0,14.7,2.1
HFO,T0,H,0.69,14.0,14.7,2.1
HFO,T0,H,0.7,14.0,14.7,2.1
HFO,T0,H,0.71,14.0,14.7,2.1
HFO,T0,H,0.72,14.0,14.7,2.1
HFO,T0,H,0.73,14.0,14.7,2.1
HFO,T0,H,0.74,14.0,14.7,2.1
HFO,T0,H,0.75,14.0,14.7,2.1
HFO,T0,H,0.76,14.0,14.7,2.1
HFO,T0,H,0.77,14.0,14.7,2.1
HFO,T0,H,0.78,14.0,14.7,2.1
HFO,T0,H,0.79,14.0,14.7,2.1
HFO,T0,H,0.8,14.0,14.7,2.1
HFO,T0,H,0.81,14.0,14.7,2.1
HFO,T0,H,0.82,14.0,14.7,2.1
HFO,T0,H,0.83,14.0,14.7,2.1
HFO,T0,H,0.84,14.0,14.7,2.1
HFO,T0,H,0.85,14.0,14.7,2.1
HFO,T0,H,0.86,14.0,14.7,2.1
HFO,T0,H,0.87,14.0,14.7,2.1
HFO,T0,H,0.88,14.0,14.7,2.1
HFO,T0,H,0.89,14.0,14.7,2.1
HFO,T0,H,0.9,14.0,14.7,2.1
HFO,T0,H,0.91,14.0,14.7,2.1
HFO,T0,H,0.92,14.0,14.7,2.1
HFO,T0,H,0.93,14.0,14.7,2.1
HFO,T0,H,0.94,14.0,14.7,2.1
HFO,T0,H,0.95,14.0,14.7,2.1
HFO,T0,H,0.96,14.0,14.7,2.1
HFO,T0,H,0.97,14.0,14.7,2.1
HFO,T0,H,0.98,14.0,14.7,2.1
HFO,T0,H,0.99,14.0,14.7,2.1
HFO,T0,H,1.0,14.0,14.7,2.1
HFO,T1,S,0.0,78.62738373402296,13.0,2.1
HFO,T1,S,0.01,78.62738373402296,13.0,2.1
HFO,T1,S,0.02,78.62738373402296,13.0,2.1
HFO,T1,S,0.03,49.62867918452685,13.0,2.1
HFO,T1,S,0.04,37.487616813792805,13.0,2.1
HFO,T1,S,0.05,31.0872818865955,13.0,2.1
HFO,T1,S,0.06,27.235026497505864,13.0,2.1
HFO,T1,S,0.07,24.70665460723424,13.0,2.1
HFO,T1,S,0.08,22.94251273092843,13.0,2.1
HFO,T1,S,0.09,21.6542232049052,13.0,2.1
HFO,T1,S,0.1,20.67965261648527,13.0,2.1
HFO,T1,S,0.11,19.92137194369343,13.0,2.1
HFO,T1,S,0.12,19.317674662241416,13.0,2.1
HFO,T1,S,0.13,18.8277779060627,13.0,2.1
HFO,T1,S,0.14,18.42376020775516,13.0,2.1
HFO,T1,S,0.15,18.085929631201047,13.0,2.1
HFO,T1,S,0.16,17.800041865899665,13.0,2.1
HFO,T1,S,0.17,17.55556520030117,13.0,2.1
HFO,T1,S,0.18,17.344562735908347,13.0,2.1
HFO,T1,S,0.19,17.160951648586853,13.0,2.1
HFO,T1,S,0.2,17.000000000000004,13.0,2.1
HFO,T1,S,0.21,17.0,13.0,2.1
HFO,T1,S,0.22,17.0,13.0,2.1
HFO,T1,S,0.23,17.0,13.0,2.1
HFO,T1,S,0.24,17.0,13.0,2.1
HFO,T1,S,0.25,17.0,13.0,2.1
HFO,T1,S,0.26,17.0,13.0,2.1
HFO,T1,S,0.27,17.0,13.0,2.1
HFO,T1,S,0.28,17.0,13.0,2.1
HFO,T1,S,0.29,17.0,13.0,2.1
HFO,T1,S,0.3,17.0,13.0,2.1
HFO,T1,S,0.31,17.0,13.0,2.1
HFO,T1,S,0.32,17.0,13.0,2.1
HFO,T1,S,0.33,17.0,13.0,2.1
HFO,T1,S,0.34,17.0,13.0,2.1
HFO,T1,S,0.35,17.0,13.0,2.1
HFO,T1,S,0.36,17.0,13.0,2.1
HFO,T1,S,0.37,17.0,13.0,2.1
HFO,T1,S,0.38,17.0,13.0,2.1
HFO,T1,S,0.39,17.0,13.0,2.1
HFO,T1,S,0.4,17.0,13.0,2.1
HFO,T1,S,0.41,17.0,13.0,2.1
HFO,T1,S,0.42,17.0,13.0,2.1
HFO,T1,S,0.43,17.0,13.0,2.1
HFO,T1,S,0.44,17.0,13.0,2.1
HFO,T1,S,0.45,17.0,13.0,2.1
HFO,T1,S,0.46,17.0,13.0,2.1
HFO,T1,S,0.47,17.0,13.0,2.1
HFO,T1,S,0.48,17.0,13.0,2.1
HFO,T1,S,0.49,17.0,13.0,2.1
HFO,T1,S,0.5,17.0,13.0,2.1
HFO,T1,S,0.51,17.0,13.0,2.1
HFO,T1,S,0.52,17.0,13.0,2.1
HFO,T1,S,0.53,17.0,13.0,2.1
HFO,T1,S,0.54,17.0,13.0,2.1
HFO,T1,S,0.55,17.0,13.0,2.1
HFO,T1,S,0.56,17.0,13.0,2.1
HFO,T1,S,0.57,17.0,13.0,2.1
HFO,T1,S,0.58,17.0,13.0,2.1
HFO,T1,S,0.59,17.0,13.0,2.1
HFO,T1,S,0.6,17.0,13.0,2.1
HFO,T1,S,0.61,17.0,13.0,2.1
HFO,T1,S,0.62,17.0,13.0,2.1
HFO,T1,S,0.63,17.0,13.0,2.1
HFO,T1,S,0.64,17.0,13.0,2.1
HFO,T1,S,0.65,17.0,13.0,2.1
HFO,T1,S,0.66,17.0,13.0,2.1
HFO,T1,S,0.67,17.0,13.0,2.1
HFO,T1,S,0.68,17.0,13.0,2.1
HFO,T1,S,0.69,17.0,13.0,2.1
HFO,T1,S,0.7,17.0,13.0,2.1
HFO,T1,S,0.71,17.0,13.0,2.1
HFO,T1,S,0.72,17.0,13.0,2.1
HFO,T1,S,0.73,17.0,13.0,2.1
HFO,T1,S,0.74,17.0,13.0,2.1
HFO,T1,S,0.75,17.0,13.0,2.1
HFO,T1,S,0.76,17.0,13.0,2.1
HFO,T1,S,0.77,17.0,13.0,2.1
HFO,T1,S,0.78,17.0,13.0,2.1
HFO,T1,S,0.79,17.0,13.0,2.1
HFO,T1,S,0.8,17.0,13.0,2.1
HFO,T1,S,0.81,17.0,13.0,2.1
HFO,T1,S,0.82,17.0,13.0,2.1
HFO,T1,S,0.83,17.0,13.0,2.1
HFO,T1,S,0.84,17.0,13.0,2.1
HFO,T1,S,0.85,17.0,13.0,2.1
HFO,T1,S,0.86,17.0,13.0,2.1
HFO,T1,S,0.87,17.0,13.0,2.1
HFO,T1,S,0.88,17.0,13.0,2.1
HFO,T1,S,0.89,17.0,13.0,2.1
HFO,T1,S,0.9,17.0,13.0,2.1
HFO,T1,S,0.91,17.0,13.0,2.1
HFO,T1,S,0.92,17.0,13.0,2.1
HFO,T1,S,0.93,17.0,13.0,2.1
HFO,T1,S,0.94,17.0,13.0,2.1
HFO,T1,S,0.95,17.0,13.0,2.1
HFO,T1,S,0.96,17.0,13.0,2.1
HFO,T1,S,0.97,17.0,13.0,2.1
HFO,T1,S,0.98,17.0,13.0,2.1
HFO,T1,S,0.99,17.0,13.0,2.1
HFO,T1,S,1.0,17.0,13.0,2.1
HFO,T1,M,0.0,60.12682285542932,13.0,2.1
HFO,T1,M,0.01,60.12682285542932,13.0,2.1
HFO,T1,M,0.02,60.12682285542932,13.0,2.1
HFO,T1,M,0.03,37.95134290581465,13.0,2.1
HFO,T1,M,0.04,28.66700109290038,13.0,2.1
HFO,T1,M,0.05,23.77262732504362,13.0,2.1
HFO,T1,M,0.06,20.826784968680954,13.0,2.1
HFO,T1,M,0.07,18.893324111414415,13.0,2.1
HFO,T1,M,0.08,17.544274441298214,13.0,2.1
