ME_type,fuel_type,s_content,Load1,CO2_EF_ME,CO2_EF_AE,CO2_EF_AB,SO2_EF_ME,SO2_EF_AE,SO2_EF_AB,SO4_EF_ME,SO4_EF_AE,SO4_EF_AB,EC_EF_ME,EC_EF_AE,EC_EF_AB,OC_EF_ME,OC_EF_AE,OC_EF_AB,CO_EF_ME,CO_EF_AE,CO_EF_AB,NMVOC_EF_ME,NMVOC_EF_AE,NMVOC_EF_AB,NH3_EF_ME,NH3_EF_AE,NH3_EF_AB
SSD,HFO,2.7,0.41,646.9340371650002,862.578,949.77,10.962816795,14.62,16.1,0.372884925,0.5,0.56,0.08523084000000003,0.08,0.08,0.21820761063433916,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.42,644.91590826,862.578,949.77,10.92861798,14.62,16.1,0.3717217,0.5,0.56,0.08496496,0.08,0.08,0.217522291630722,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.43,642.953037285,862.578,949.77,10.895355555,14.62,16.1,0.370590325,0.5,0.56,0.08470636000000001,0.08,0.08,0.2168569170473622,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.44,641.04542424,862.578,949.77,10.86302952,14.62,16.1,0.3694908,0.5,0.56,0.08445504,0.08,0.08,0.2162111202431708,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.45,639.1930691250002,862.578,949.77,10.831639875,14.62,16.1,0.368423125,0.5,0.56,0.08421100000000001,0.08,0.08,0.21558463743945244,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.46,637.3959719400002,862.578,949.77,10.80118662,14.62,16.1,0.3673873,0.5,0.56,0.08397424,0.08,0.08,0.21497727884258486,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.47,635.6541326850001,862.578,949.77,10.771669755,14.62,16.1,0.366383325,0.5,0.56,0.08374476000000003,0.08,0.08,0.21438890787995632,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.48,633.96755136,862.578,949.77,10.74308928,14.62,16.1,0.3654112,0.5,0.56,0.08352256000000001,0.08,0.08,0.2138194262674156,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.49,632.336227965,862.578,949.77,10.715445195,14.62,16.1,0.364470925,0.5,0.56,0.08330764,0.08,0.08,0.213268763269088,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.5,630.7601625000002,862.578,949.77,10.6887375,14.62,16.1,0.3635625,0.5,0.56,0.08310000000000001,0.08,0.08,0.2127368679716649,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.51,629.2393549650002,862.578,949.77,10.662966195,14.62,16.1,0.362685925,0.5,0.56,0.08289964000000001,0.08,0.08,0.2122237037265256,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.52,627.7738053600001,862.578,949.77,10.63813128,14.62,16.1,0.3618412,0.5,0.56,0.08270656000000001,0.08,0.08,0.21172924415102687,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.53,626.363513685,862.578,949.77,10.614232755,14.62,16.1,0.361028325,0.5,0.56,0.08252076000000001,0.08,0.08,0.2112534702513129,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
